% Device,CC1747005
% File name,CC1747005_20250910_185446
% Cast time (UTC),2025-09-10 18:54:46
% Cast time (local),2025-09-10 15:54:46
% Sample type,Cast
% Cast data,Down & up
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),58.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-01-26
% Temperature calibration date,2024-01-25
% Pressure calibration date,2024-01-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14961858323695812,14.698668371674071,39075.459386066745,49215.075705093419,31.765797431774679,1501.9476785157556,1023.5453101454281
0.44999999999999996,0.44880256316657952,13.937555773305261,38678.56752005071,49667.431290805231,32.030898790052255,1499.7925550912621,1023.90912059744
0.74999999999999989,0.74793833138548482,13.764530181884766,38424.3828125,49561.264682186549,31.940116317877727,1499.1227565465563,1023.8755406745557
1.05,1.0470744562245715,13.691948890686035,38380.859375,49597.991927771669,31.960208158186127,1498.9122241778719,1023.9070691513989
1.35,1.3462015538900456,13.626190185546875,38344.203125,49634.979454105749,31.981009332277193,1498.7246456592679,1023.9377291752851
1.65,1.6453195406096839,13.571195602416992,38322.265625,49677.311043216156,32.006522396476818,1498.5778787870615,1023.9698350255721
1.9500000000000002,1.9444270882700285,13.512927051580897,38307.0801867597,49732.756141145146,32.04111814327819,1498.4307406106905,1024.009592587056
2.25,2.2435276943746585,13.477617263793947,38275.0546875,49736.778690186009,32.040800469393382,1498.3183353100342,1024.0177538264534
2.55,2.542624229251635,13.456538200378418,38276.3828125,49765.767543948292,32.059625995648446,1498.2755854809066,1024.0378598844839
2.85,2.8417163231725664,13.439374923706055,38269.2578125,49778.720242532952,32.067288683604012,1498.2326408505171,1024.0485533610595
3.15,3.1408059054994459,13.427360534667969,38262.9296875,49786.049776929613,32.071368779047454,1498.2025387672268,1024.0554485151927
3.4499999999999997,3.4398928269596381,13.418091773986816,38266.515625,49802.728165315268,32.082394723979057,1498.1897272469605,1024.067164568643
3.75,3.7389777262317025,13.409878730773926,38258.6015625,49803.075181082611,32.08179960276226,1498.1667150585017,1024.0696862689417
4.05,4.0380618490001616,13.405056953430176,38255.6015625,49805.422250627824,32.082938316150113,1498.1570018550212,1024.0728720547766
4.35,4.3371455774591938,13.39935779571533,38247.0234375,49801.644653765114,32.079606510192754,1498.1391022423836,1024.0727764877429
4.6499999999999995,4.6362287336675321,13.393214225769043,38244.15625,49805.879790511259,32.081981523090576,1498.1264522115512,1024.0771808516668
4.9499999999999993,4.935309680569663,13.386211395263674,38249.5703125,49822.018014025038,32.092816331197795,1498.1209204198942,1024.0882961419559
5.2499999999999991,5.23438970999279,13.3818302154541,38236.52734375,49810.71398772746,32.084202523846976,1498.1011614893341,1024.0838538662003
5.55,5.5334686547309273,13.376519203186035,38245.515625,49829.318055798096,32.096954757162713,1498.1035069792695,1024.0961143849704
5.85,5.83254577723531,13.374711990356445,38242.49609375,49827.730437899219,32.095537374669377,1498.1007837527277,1024.0967230214167
6.0737198013620279,6.0555775070782358,13.372649878400397,38236.517900490377,49822.618481729289,32.091599903413659,1498.0929816831219,1024.0950921459844
6.0737198013620279,6.0551297427480355,13.369565963745119,38244.88671875,49837.528465772943,32.1020184495697,1498.0950204871865,1024.1037604550049
5.85,5.8321001235349419,13.374130888487414,38256.643062383206,49846.917932231976,32.109246647430609,1498.1150204498015,1024.1074373664396
5.55,5.5330260285948283,13.384849133077049,38269.193676693059,49849.347517319889,32.112060062474534,1498.1489939692092,1024.1061338359491
5.2499999999999991,5.2339515580805438,13.376331958502274,38258.603895471235,49846.613710817459,32.10946064182879,1498.1126797205245,1024.1044752638991
4.9499999999999993,4.9348764824257074,13.393561930646506,38276.647310016691,49847.741893756815,32.11191832898276,1498.1678591348443,1024.1015995658022
4.6499999999999995,4.6358009684276187,13.380478955675665,38262.260888403296,49845.991933283454,32.109619733047104,1498.1167386753184,1024.10108330525
4.35,4.33672552481016,13.384051731205579,38269.045028572829,49850.189470045894,32.113065998346592,1498.1277181566063,1024.1016915782548
4.05,4.0376496908795536,13.385554345538941,38267.466834239021,49846.182355168145,32.110443580948392,1498.1246638593998,1024.0980202954256
3.75,3.7385727119001664,13.385501640776433,38262.826005226256,49840.205767403779,32.106270469499961,1498.1146145996916,1024.0934598568479
3.4499999999999997,3.4394954262827464,13.390661806948318,38273.504662104948,49847.414528261448,32.112017182324564,1498.1335772349567,1024.0955303369701
3.15,3.1404168011168831,13.39881784791975,38268.734231532653,49830.615076612121,32.100809086028157,1498.1424945262256,1024.0838962874745
2.85,2.8413364971360737,13.398263559798647,38269.4670424277,49832.288617465259,32.10207847488995,1498.1371972400671,1024.0836433544819
2.55,2.5422552330107497,13.422398447633631,38290.334345696174,49828.141777617748,32.101357843789167,1498.2115145612881,1024.0769310842461
2.25,2.243172108820159,13.421917152749279,38282.61308867234,49818.717968284713,32.094673714687715,1498.1970845610535,1024.070515431968
1.9500000000000002,1.9440880050747185,13.424016242749469,38285.877355395249,49820.244080575139,32.096071861730195,1498.2007453887402,1024.0698330469807
1.65,1.6450038313175632,13.450838760334582,38318.969728880249,49828.522555416443,32.104493886885926,1498.2946989626755,1024.0696460111035
1.35,1.3459197924928679,13.470605802774731,38345.023010603414,49836.780849234427,32.112275490426477,1498.3644491790328,1024.0703670880203
1.05,1.0468337768725571,13.50663570461837,38368.953106152425,49821.222243976212,32.10438917066643,1498.4695695878913,1024.055719085429
0.74999999999999989,0.74774355130286618,13.549976208258496,38401.63757008539,49807.602166377823,32.09851442321213,1498.6011389142234,1024.0411480788164
0.44999999999999996,0.44865049404984253,13.601855829904078,38457.477353319104,49812.990239094768,32.106998768614396,1498.7776660708337,1024.0359385894822
0.15,0.14955180990761527,13.68878005247543,38515.291145780029,49775.789122246693,32.087888095012559,1499.0370597292567,1024.0023111856747
