"Date","Time","Temp","SpCond","Sal","Depth","pH","pH","Turbid+","Chl","Baro","Latitude","Longitude","Battery"
"M/D/Y","HH:MM:SS","C","uS","ppt","meters","","mV","NTU","RFU","mmHg","Deg","Deg","volts"
"09/12/2023","11:21:10",13.69,47400,30.83,6.835,7.77,-62.2,0.2,0.30,766.0,45.1435,-66.2631,12.1
"09/12/2023","11:22:04",15.04,43990,28.41,0.920,7.80,-64.1,-0.5,0.60,766.1,0.0000,0.0000,12.1
"09/12/2023","11:35:43",13.65,47650,31.01,10.328,7.82,-65.3,2.3,0.20,765.9,45.1420,-66.2602,12.2
"09/12/2023","11:36:44",15.14,43900,28.35,0.999,7.85,-67.0,-0.4,0.70,765.8,45.1420,-66.2603,12.1
"09/12/2023","11:47:36",13.51,47710,31.05,12.615,7.85,-66.5,1.7,0.50,765.7,45.1406,-66.2581,12.1
"09/12/2023","11:49:09",15.02,44130,28.51,1.021,7.87,-67.9,-0.6,0.60,765.7,45.1405,-66.2583,12.2
"09/12/2023","12:01:16",13.69,47720,31.06,14.942,7.87,-67.9,1.6,0.40,765.6,45.1387,-66.2583,12.1
"09/12/2023","12:02:03",15.17,43800,28.28,1.222,7.89,-69.4,0.3,0.70,765.7,45.1387,-66.2585,12.1
"09/12/2023","12:13:17",13.63,47690,31.04,13.953,7.89,-68.7,1.5,0.30,765.7,45.1401,-66.2553,12.1
"09/12/2023","12:14:25",15.09,44610,28.86,1.143,7.91,-70.2,-0.9,0.70,765.7,45.1400,-66.2558,12.1
"09/12/2023","12:27:18",13.46,47820,31.13,16.474,7.89,-68.7,0.5,0.30,765.7,45.1419,-66.2504,12.1
"09/12/2023","12:28:32",15.08,44410,28.72,1.046,7.91,-70.4,-1.1,0.70,765.7,45.1417,-66.2506,12.1
"09/12/2023","12:41:39",13.81,47760,31.10,19.595,7.90,-69.6,2.5,0.40,765.7,45.1454,-66.2420,12.2
"09/12/2023","12:43:03",15.36,43570,28.12,1.229,7.92,-70.7,-0.8,0.90,765.7,45.1452,-66.2421,12.1
"09/12/2023","13:12:02",14.05,46780,30.40,6.345,7.90,-69.4,-1.1,0.40,766.8,45.1535,-66.2349,12.2
"09/12/2023","13:12:42",15.00,45090,29.20,1.152,7.91,-70.4,-1.3,0.70,766.8,45.1534,-66.2349,12.2
"09/12/2023","13:26:53",13.75,47480,30.89,5.806,7.90,-69.5,0.1,0.50,767.8,45.1537,-66.2543,12.1
"09/12/2023","13:28:18",15.57,42900,27.64,0.955,7.92,-70.7,-0.9,0.70,767.6,45.1533,-66.2546,12.1
"09/12/2023","13:37:51",14.02,46900,30.48,4.774,7.91,-69.9,-0.7,0.60,767.1,45.1580,-66.2578,12.1
"09/12/2023","13:38:58",15.51,43040,27.74,0.989,7.93,-71.2,-1.2,0.70,767.1,0.0000,0.0000,12.1
"09/12/2023","13:51:54",14.17,46460,30.17,6.173,7.91,-70.1,0.3,0.50,766.9,45.1690,-66.2414,12.2
"09/12/2023","13:52:45",15.22,43620,28.15,1.046,7.92,-70.7,-0.2,0.60,767.1,42535300000000000000000000000000000000.0000,10396490000000000000000000000000000.0000,12.1
"09/12/2023","14:02:29",13.69,47420,30.85,5.149,7.92,-70.4,-0.3,0.30,767.0,10700280000000000000000000000000000000.0000,0.0000,12.1
"09/12/2023","14:03:10",15.63,42820,27.59,1.074,7.94,-71.9,-0.7,0.90,767.1,10700280000000000000000000000000000000.0000,0.0000,12.1
"09/12/2023","14:13:25",13.81,47250,30.73,6.175,7.93,-71.1,-0.5,0.50,766.8,45.1519,-66.2487,12.1
"09/12/2023","14:14:49",15.72,43150,27.82,1.014,7.95,-72.6,-1.3,0.90,766.7,45.1516,-66.2491,12.1
"09/12/2023","14:23:38",14.14,46860,30.46,8.764,7.94,-71.8,-1.3,0.40,766.6,10667050000000000000000000000000000000.0000,41572980000000000000000000000000000.0000,12.1
"09/12/2023","14:25:41",15.43,43810,28.29,1.166,7.95,-72.5,-1.4,0.70,766.6,0.0000,0.0000,12.1
"09/13/2023","11:29:26",15.26,43510,28.07,4.924,7.97,-73.4,6.9,0.70,765.1,10689210000000000000000000000000000000.0000,0.0000,12.1
"09/13/2023","11:30:09",15.45,42800,27.57,1.118,7.97,-73.8,9.9,0.70,765.1,10672590000000000000000000000000000000.0000,0.0000,12.1
"09/13/2023","12:26:59",19.38,12700,7.32,4.501,7.90,-70.4,6.9,1.80,765.5,45.1923,66.5500,12.2
"09/13/2023","12:27:41",20.47,1194,0.60,1.253,8.10,-82.0,9.7,1.70,765.6,45.1922,-66.3199,12.1
"09/13/2023","12:49:16",19.23,14130,8.21,3.991,7.87,-68.5,4.5,1.70,765.7,45.1861,-66.3238,12.1
"09/13/2023","12:50:15",20.40,3079,1.61,0.986,7.94,-72.7,8.8,1.50,765.5,45.1859,-66.3239,12.2
"09/13/2023","13:03:33",18.08,24510,14.94,5.213,7.77,-63.1,4.0,1.50,765.5,45.1784,-66.3159,12.2
"09/13/2023","13:04:28",19.83,8089,4.50,1.152,7.85,-67.8,6.3,1.80,765.5,45.1782,-66.3157,12.1
"09/13/2023","13:15:15",17.78,26840,16.50,5.880,7.82,-65.6,3.5,1.40,765.5,45.1716,66.5500,12.2
"09/13/2023","13:16:39",19.35,13460,7.79,1.037,7.73,-61.2,4.5,1.80,765.5,45.1713,-66.3080,12.2
"09/13/2023","13:30:10",17.61,28090,17.34,4.021,7.78,-63.5,5.2,1.30,765.7,45.1735,-66.3011,12.1
"09/13/2023","13:31:19",18.88,18960,11.30,1.331,7.70,-59.4,5.9,1.60,765.6,45.1737,66.3009,12.2
"09/13/2023","13:43:17",16.58,35080,22.14,3.333,7.86,-67.7,5.5,1.20,765.4,45.1794,-66.2941,12.1
"09/13/2023","13:44:12",18.08,24800,15.14,1.120,7.85,-67.3,5.0,1.50,765.4,1.0167,10446250000000000000000000000000000.0000,12.1
"09/13/2023","13:57:47",15.91,39780,25.43,5.792,7.94,-72.2,6.7,0.90,765.4,45.1866,-66.2957,12.2
"09/13/2023","13:59:08",17.75,27820,17.16,1.106,7.90,-69.9,8.3,1.40,765.4,45.1869,-66.2952,12.1
"09/13/2023","14:13:02",15.81,40550,25.97,5.223,7.95,-72.6,6.7,0.90,765.4,45.1869,-66.2824,12.2
"09/13/2023","14:14:18",17.21,31510,19.68,0.974,7.96,-73.2,6.1,1.10,765.4,45.1875,-66.2824,12.1
"09/13/2023","14:25:03",15.61,41810,26.87,5.561,7.95,-72.7,9.8,0.80,765.2,45.1935,-66.2750,12.2
"09/13/2023","14:25:58",16.79,34430,21.69,1.011,7.94,-72.3,7.9,1.20,765.1,45.1936,-66.2746,12.1
"09/13/2023","14:42:21",15.81,41180,26.41,11.926,7.98,-74.3,6.0,1.00,764.9,45.1858,-66.2560,12.2
"09/13/2023","14:43:38",16.34,38230,24.34,1.117,7.98,-74.5,6.0,0.70,764.7,45.1856,-66.2554,12.1
"09/13/2023","14:55:04",14.34,46530,30.22,4.097,8.00,-75.1,1.5,0.40,764.5,45.1778,-66.2428,12.1
"09/13/2023","14:55:56",15.64,41930,26.95,0.939,8.01,-75.6,2.2,0.80,764.5,45.1775,-66.2427,12.1
