"","station","depth","temperature","salinity","density"
"1","Musq_10",-0.15,17.1951717332587,29.2828915663617,1021.0782008148
"2","Musq_10",-0.45,17.1879466966376,29.2841537579493,1021.08205822128
"3","Musq_10",-0.75,15.7380871210241,30.5972890571144,1022.42505249545
"4","Musq_10",-1.05,15.4372571288233,30.7785365418851,1022.63165956422
"5","Musq_10",-1.35,15.3584735648855,30.8421568826527,1022.6989796923
"6","Musq_10",-1.65,15.3563033495825,30.8620028754333,1022.71603707415
"7","Musq_10",-1.95,15.3405338353985,30.8864049505534,1022.73953229814
"8","Musq_10",-2.25,15.2876458723214,30.9022062546133,1022.76442474897
"9","Musq_10",-2.55,15.2694262983177,30.9236543444879,1022.78618044039
"10","Musq_10",-2.85,15.2587877289306,30.9449681321223,1022.80619550114
"11","Musq_10",-3.15,15.2336766916205,30.9796642129698,1022.83958679786
"12","Musq_10",-3.45,15.2717177363428,30.9400456948438,1022.80225453929
"13","Musq_10",-3.75,15.2690741778089,30.95822939896,1022.81817708962
"14","Musq_10",-4.05,15.2262674604208,30.9707679681089,1022.83838996695
"15","Musq_10",-4.35,15.191963604276,30.969655989628,1022.8462333852
"16","Musq_10",-4.65,15.1772546831105,30.9978482230923,1022.87240932169
"17","Musq_10",-4.95,15.146233050539,31.034188251961,1022.90834095297
"18","Musq_10",-5.25,15.1047404689486,31.0863435034619,1022.95867435797
"19","Musq_10",-5.55,15.0972335262749,31.0892400788672,1022.96384217945
"20","Musq_10",-5.85,15.0789542220121,31.0930181988307,1022.97199835944
"21","Musq_10",-6.15,15.0637848677332,31.1063115661327,1022.98680588361
"22","Musq_10",-6.45,15.0513673216374,31.1222717886623,1023.00307442908
"23","Musq_10",-6.75,15.0577584657451,31.1105216240177,1022.99400675488
"24","Musq_10",-7.05,15.0579472749727,31.1126184644526,1022.99691922946
"25","Musq_10",-7.35,15.0576176631022,31.111799664891,1022.99769784015
"26","Musq_10",-7.65,15.0576526942975,31.1064130089324,1022.9948831394
"27","Musq_10",-7.95,15.0650972099391,31.1002117102092,1022.98986098853
"28","Musq_10",-8.25,15.075512316689,31.0943448160209,1022.98446244644
"29","Musq_10",-8.55,15.0902795252235,31.0585174905672,1022.95520322811
"30","Musq_12",-0.15,17.751477116898,26.5818045764513,1018.88931486417
"31","Musq_12",-0.45,16.2796765609897,30.3488724413006,1022.10842551999
"32","Musq_12",-0.75,15.1736091368078,31.3554850698699,1023.13064000494
"33","Musq_12",-1.05,15.0654408052231,31.4271115997692,1023.21040758776
"34","Musq_12",-1.35,14.9428420837898,31.4795044164712,1023.2783612748
"35","Musq_12",-1.65,14.8893882286935,31.5102342361667,1023.31475953031
"36","Musq_12",-1.95,14.8511321281143,31.5418657829943,1023.34858937915
"37","Musq_12",-2.25,14.8332214103164,31.5681793115604,1023.3739912616
"38","Musq_12",-2.55,14.8375716761956,31.5483442601448,1023.35913155742
"39","Musq_12",-2.85,14.8270155379428,31.5589321976552,1023.37086471875
"40","Musq_12",-3.15,14.8171906059704,31.5521718621619,1023.36907949164
"41","Musq_12",-3.45,14.8181774576362,31.5347033662032,1023.35675638953
"42","Musq_12",-3.75,14.8169815041998,31.5473947799317,1023.36812422829
"43","Musq_12",-4.05,14.8190448620188,31.5579194721234,1023.37713214568
"44","Musq_12",-4.35,14.8222379997679,31.5407928105409,1023.36460408912
"45","Musq_12",-4.65,14.8124012911709,31.5513301431911,1023.37614108382
"46","Musq_12",-4.95,14.8283047233402,31.544170863347,1023.36859816819
"47","Musq_12",-5.25,14.8530269972436,31.5712343088557,1023.38539966862
"48","Musq_14",-0.15,17.1926437958226,26.9840868457804,1019.32772440784
"49","Musq_14",-0.45,16.3584523361252,30.1920171523844,1021.9689785987
"50","Musq_14",-0.75,15.5574695104062,31.0460186200702,1022.80794894993
"51","Musq_14",-1.05,15.0331170770836,31.4706441068521,1023.25074123377
"52","Musq_14",-1.35,14.8545502698093,31.613616894896,1023.40038862794
"53","Musq_14",-1.65,14.8017139682845,31.6594663956063,1023.44826076596
"54","Musq_14",-1.95,14.782325095038,31.68017282315,1023.46966475758
"55","Musq_14",-2.25,14.7704762823025,31.6787076498965,1023.47238320796
"56","Musq_14",-2.55,14.7574488727783,31.687902874491,1023.48356974053
"57","Musq_14",-2.85,14.743704965114,31.6930500949318,1023.49178760014
"58","Musq_14",-3.15,14.7291549471423,31.710415998993,1023.50958435109
"59","Musq_14",-3.45,14.7199930695368,31.7159622397027,1023.51713291391
"60","Musq_14",-3.75,14.7176344703069,31.7160031683533,1023.51900296351
"61","Musq_14",-4.05,14.7145625061795,31.716800472456,1023.52160525789
"62","Musq_14",-4.35,14.7102515986173,31.7146304327753,1023.52218404641
"63","Musq_14",-4.65,14.7004084428665,31.7216546007437,1023.53101269912
"64","Musq_14",-4.95,14.6998735087388,31.7272489698856,1023.53677531943
"65","Musq_14",-5.25,14.6993228922846,31.7235646077307,1023.53539132431
"66","Musq_14",-5.55,14.6931542395811,31.7277607428594,1023.54126449477
"67","Musq_14",-5.85,14.6889505776934,31.6703002325039,1023.49921658984
"68","Musq_14",-6.15,14.689831843263,31.7259461203999,1023.54324454856
"69","Musq_14",-6.45,14.6904482509044,31.7319024721464,1023.54904273383
"70","Musq_14",-6.75,14.6869576343761,31.7328159656786,1023.55182199997
"71","Musq_14",-7.05,14.6851731710268,31.73559727003,1023.55568067397
"72","Musq_14",-7.35,14.6804181605388,31.733963175179,1023.5567636421
"73","Musq_14",-7.65,14.6767326308099,31.7430225383553,1023.56586010709
"74","Musq_14",-7.95,14.6792249793059,31.7671546598105,1023.5852653201
"75","Musq_14",-8.25,14.6990474000271,31.7561157074304,1023.5739131692
"76","Musq_14",-8.55,14.7223902383634,31.7589992065861,1023.57254847712
"77","Musq_14",-8.75,14.7472267150879,31.7628941775029,1023.57113365124
"78","Musq_16",-0.15,17.3268253269024,25.8084052212303,1018.40266086777
"79","Musq_16",-0.45,16.460616483525,28.8004248497575,1020.88260794049
"80","Musq_16",-0.75,15.452488083862,30.7673083228398,1022.61720561714
"81","Musq_16",-1.05,14.8898180317363,31.492654612728,1023.29834637126
"82","Musq_16",-1.35,14.7683887431798,31.5946579247248,1023.40405178233
"83","Musq_16",-1.65,14.7052074499824,31.6586706690111,1023.46801639236
"84","Musq_16",-1.95,14.6455341226273,31.6912523399906,1023.50702099971
"85","Musq_16",-2.25,14.5689630119883,31.746109510793,1023.56677818359
"86","Musq_16",-2.55,14.527900801678,31.7807642667385,1023.60344963801
"87","Musq_16",-2.85,14.5196854868353,31.803975602176,1023.62440232142
"88","Musq_16",-3.15,14.5166320072806,31.8334957659834,1023.64913306808
"89","Musq_16",-3.45,14.4969240623752,31.8892233327939,1023.6975587752
"90","Musq_16",-3.75,14.4834560863423,31.8931309415707,1023.70473257359
"91","Musq_16",-4.05,14.4783555749049,31.8914568074054,1023.70584871666
"92","Musq_16",-4.35,14.4881374075854,31.8858246665314,1023.70080035528
"93","Musq_16",-4.55,14.557245457216,31.6985531465456,1023.54315917213
"94","Musq_16",-4.65,14.557245457216,31.6985531465456,1023.54315917213
"95","Musq_18",-0.15,16.4314694668446,29.4977820000576,1021.41677151319
"96","Musq_18",-0.45,14.6664113007194,31.6776775654848,1023.48534016035
"97","Musq_18",-0.75,14.4953517438565,31.9382145508862,1023.72354774949
"98","Musq_18",-1.05,14.458197667602,31.9782795576973,1023.76357117626
"99","Musq_18",-1.35,14.4434942477031,31.9745778479638,1023.76514282905
"100","Musq_18",-1.65,14.4215948393347,31.9751346562144,1023.77149607171
"101","Musq_18",-1.95,14.4063549463006,31.9938349477289,1023.79044069477
"102","Musq_18",-2.25,14.4056377630707,32.0044535875421,1023.80011863068
"103","Musq_18",-2.55,14.4072605365608,32.0122022087449,1023.80709257526
"104","Musq_18",-2.85,14.4251485786461,32.0225708737255,1023.8126816067
"105","Musq_18",-3.15,14.446339875019,32.0354161313304,1023.81947837256
"106","Musq_18",-3.45,14.4297022957844,32.0494302941288,1023.83511479527
"107","Musq_18",-3.75,14.404270359372,32.0417395311877,1023.83585299148
"108","Musq_18",-4.05,14.4035344144625,32.0590110509306,1023.85066445938
"109","Musq_18",-4.35,14.4221976056266,31.9857697029632,1023.7916271225
"110","Musq_18",-4.65,14.3952375767898,32.000115830767,1023.80966479288
"111","Musq_18",-4.95,14.3930485622406,32.0168471191557,1023.82436362463
"112","Musq_18",-5.25,14.4042706632758,32.0313525143915,1023.8345421581
"113","Musq_18",-5.55,14.4141450898204,32.0372358076505,1023.83835047381
"114","Musq_18",-5.85,14.4284531504985,32.0397236686098,1023.83861007729
"115","Musq_18",-6.15,14.4177139915995,32.0431971435765,1023.84487897494
"116","Musq_18",-6.45,14.4239542746778,31.9770891199381,1023.7939457769
"117","Musq_18",-6.75,14.3970198724522,31.9931604156718,1023.81331024409
"118","Musq_18",-7.05,14.3874832332255,32.0065890245375,1023.82699677633
"119","Musq_18",-7.35,14.3835222758071,32.0092853198047,1023.83124258769
"120","Musq_18",-7.65,14.384233385176,32.0167594278442,1023.83819748817
"121","Musq_18",-7.95,14.4057747249127,32.0024213628704,1023.82398730613
"122","Musq_18",-8.25,14.4338800931621,32.0310442722038,1023.84146862751
"123","Musq_2",-0.15,19.9881753044257,11.2643837558269,1006.75293373254
"124","Musq_2",-0.45,19.7938028386901,13.9136611729018,1008.80264394811
"125","Musq_2",-0.75,19.3896900195532,15.7923952533685,1010.31959639577
"126","Musq_2",-1.05,19.1204532136339,17.5644779337734,1011.72561181781
"127","Musq_2",-1.35,18.8732606468618,18.0510416532796,1012.15254182139
"128","Musq_2",-1.65,18.6888864030976,18.8600458603814,1012.8099548393
"129","Musq_2",-1.95,18.5545176041999,19.7507446423223,1013.51844225363
"130","Musq_2",-2.25,18.4346080580563,20.4542493088001,1014.08183265711
"131","Musq_2",-2.55,18.3285095687753,20.9201807521397,1014.46146027424
"132","Musq_2",-2.85,18.1992478531238,21.3801167719308,1014.84195365613
"133","Musq_2",-3.15,18.0337110105532,22.0430719707682,1015.38538870053
"134","Musq_2",-3.45,17.9055078099923,22.650462593577,1015.87797710023
"135","Musq_2",-3.75,17.7236522724179,23.3204207773272,1016.43079610643
"136","Musq_2",-4.05,17.5169092485285,24.3815303028429,1017.28785976101
"137","Musq_2",-4.35,17.364149767067,24.7899604583977,1017.63516863596
"138","Musq_2",-4.65,17.2564095589323,25.0555509385129,1017.86343273758
"139","Musq_2",-4.95,17.1718517256531,25.2934622228818,1018.06537008878
"140","Musq_2",-5.25,17.1201130315682,25.413288269604,1018.16977717006
"141","Musq_2",-5.55,17.0900145352702,25.5276742549512,1018.26520977073
"142","Musq_2",-5.85,17.0642000883162,25.6051191268302,1018.33147161038
"143","Musq_2",-6.15,17.0496758798293,25.5489490684022,1018.29311184286
"144","Musq_2",-6.45,17.0500029611411,25.6888574796373,1018.40130141297
"145","Musq_2",-6.75,17.0439334122889,25.6697575363314,1018.38939268468
"146","Musq_2",-7.05,17.039612286007,25.6652764199831,1018.3882683501
"147","Musq_20",-0.15,15.5376258390109,30.4057292781453,1022.31731873507
"148","Musq_20",-0.45,14.6307202217569,31.4813580426718,1023.34177638298
"149","Musq_20",-0.75,14.5189215836068,31.5980043889884,1023.45643439456
"150","Musq_20",-1.05,14.5152159996531,31.5703377120584,1023.43722909511
"151","Musq_20",-1.35,14.503218222215,31.5997168193914,1023.46371807237
"152","Musq_20",-1.65,14.4844868976919,31.702591648106,1023.54825705926
"153","Musq_20",-1.95,14.4705378040451,31.6979196056721,1023.54890419988
"154","Musq_20",-2.25,14.4181404487095,31.7227045838989,1023.58026453962
"155","Musq_20",-2.55,14.4208015155193,31.6739612728626,1023.54348279636
"156","Musq_20",-2.85,14.3918299914259,31.7269784398681,1023.59171796495
"157","Musq_20",-3.15,14.3626780462592,31.7599725961508,1023.62456398257
"158","Musq_20",-3.45,14.3950137802957,31.6811499666566,1023.55841958939
"159","Musq_20",-3.75,14.3695341315103,31.7085292649841,1023.58616303986
"160","Musq_20",-4.05,14.346418555277,31.7300529441024,1023.60890525751
"161","Musq_20",-4.35,14.3398388327846,31.7266478981208,1023.60898772288
"162","Musq_20",-4.65,14.3403281046002,31.7286093902611,1023.61173440728
"163","Musq_20",-4.95,14.3600634915078,31.7104180644067,1023.59494223924
"164","Musq_20",-5.25,14.3813794142214,31.699668664834,1023.58356195577
"165","Musq_20",-5.55,14.3850345912457,31.7155519116374,1023.59639656023
"166","Musq_20",-5.85,14.395101936551,31.7003164802336,1023.5839014281
"167","Musq_20",-6.15,14.3951392928913,31.6972704438741,1023.58288616111
"168","Musq_20",-6.45,14.3921222714705,31.7207256342359,1023.60293663167
"169","Musq_20",-6.75,14.3638636266596,31.8468815465739,1023.70742504141
"170","Musq_20",-7.05,14.3452938049384,31.8646958382548,1023.72636446048
"171","Musq_20",-7.35,14.3441704577969,31.8657647077952,1023.72876048035
"172","Musq_20",-7.65,14.3465980766822,31.8577225962968,1023.72339022907
"173","Musq_20",-7.95,14.3462612450815,31.8580211645685,1023.72503086424
"174","Musq_20",-8.25,14.3477637257689,31.8579000493271,1023.72596683809
"175","Musq_20",-8.55,14.3705603076033,31.855779534929,1023.72114843305
"176","Musq_22",-0.15,15.1761339317871,31.311930282624,1023.09316821475
"177","Musq_22",-0.45,14.6398237920951,31.7596175849149,1023.55427441215
"178","Musq_22",-0.75,14.6111124357053,31.7608802254778,1023.56262738961
"179","Musq_22",-1.05,14.6019532507009,31.7787738820878,1023.57968309423
"180","Musq_22",-1.35,14.592254853414,31.7832112612527,1023.58647594747
"181","Musq_22",-1.65,14.5660165149668,31.8007176261423,1023.60681727697
"182","Musq_22",-1.95,14.5427644263949,31.8242274393771,1023.63115596489
"183","Musq_22",-2.25,14.5225301242929,31.8543084640343,1023.65992073094
"184","Musq_22",-2.55,14.4974688151129,31.8841182077835,1023.68948538947
"185","Musq_22",-2.85,14.4522846862099,31.935408494995,1023.73982027934
"186","Musq_22",-3.15,14.4187512978587,31.9741703398005,1023.77805424754
"187","Musq_22",-3.45,14.399748324557,31.9938925805096,1023.79857070212
"188","Musq_22",-3.75,14.3811718952619,32.0104796297844,1023.81657614359
"189","Musq_22",-4.05,14.3770679762033,32.0199115165619,1023.82604522383
"190","Musq_22",-4.35,14.3843161446172,32.0258680400641,1023.83046506836
"191","Musq_22",-4.65,14.373689683668,32.0418485070844,1023.8463461153
"192","Musq_22",-4.95,14.3769331627076,32.022981262334,1023.83245967322
"193","Musq_22",-5.25,14.3754945667448,32.0242241296152,1023.83505881582
"194","Musq_22",-5.55,14.3691543328493,32.0318333140921,1023.84358859363
"195","Musq_22",-5.85,14.3663836785467,32.0346114284997,1023.8476484694
"196","Musq_22",-6.25,14.3765286431185,32.0258954282101,1023.84051460834
"197","Musq_24",-0.15,15.6910687637381,29.318192661406,1021.44782214541
"198","Musq_24",-0.45,14.9440250604557,31.3932496721465,1023.20511921996
"199","Musq_24",-0.75,14.2620886436516,32.05757369513,1023.86398671717
"200","Musq_24",-1.05,14.0876253837875,32.189394002677,1024.00332638257
"201","Musq_24",-1.35,14.0350616534696,32.2214575952419,1024.04025665487
"202","Musq_24",-1.65,14.0052799260248,32.2356462984656,1024.05867783842
"203","Musq_24",-1.95,13.9884126658862,32.2464296536817,1024.07180949182
"204","Musq_24",-2.25,13.9830156455262,32.248807862733,1024.07609546034
"205","Musq_24",-2.55,13.9812607474279,32.2546049094395,1024.08227291054
"206","Musq_24",-2.85,13.978267441465,32.254040691789,1024.08379308058
"207","Musq_24",-3.15,13.97615006328,32.2573822542783,1024.08814859861
"208","Musq_24",-3.45,13.9757443503789,32.2570252989864,1024.08929819886
"209","Musq_24",-3.75,13.9716168181232,32.2588965809483,1024.09293082502
"210","Musq_24",-4.05,13.9711003682457,32.2587759480919,1024.09428509948
"211","Musq_24",-4.35,13.9689117385185,32.2606399585641,1024.09751435962
"212","Musq_24",-4.65,13.969350048774,32.2606796450732,1024.09879666319
"213","Musq_24",-4.95,13.9682922123981,32.2600732952477,1024.09988695324
"214","Musq_24",-5.25,13.9701750846849,32.2581043984667,1024.09932232993
"215","Musq_24",-5.55,13.9781752603786,32.2560407585505,1024.09743013286
"216","Musq_24",-5.75,13.9863284303286,32.243219101149,1024.08700875125
"217","Musq_26",-0.15,15.873504109359,26.8554402109145,1019.52845580246
"218","Musq_26",-0.45,15.2045665193262,31.0337335338129,1022.87172789267
"219","Musq_26",-0.75,14.5825189919209,31.8056944485521,1023.60216605116
"220","Musq_26",-1.05,14.1493831407007,32.1566549258835,1023.96531386783
"221","Musq_26",-1.35,14.1147571294203,32.1744682507737,1023.9875708979
"222","Musq_26",-1.65,14.0956535513172,32.1980678558068,1024.01107596914
"223","Musq_26",-1.95,14.0750502572588,32.192311590977,1024.01222879529
"224","Musq_26",-2.25,14.0638203301238,32.1865936172885,1024.01147016561
"225","Musq_26",-2.55,14.0672845008487,32.1916475745292,1024.01600102759
"226","Musq_26",-2.85,14.0546226313297,32.1902027570919,1024.01883206373
"227","Musq_26",-3.15,14.0512216127215,32.1911047989155,1024.02157039928
"228","Musq_26",-3.45,14.0421739649513,32.2012613301055,1024.03261178329
"229","Musq_26",-3.75,14.0418305865463,32.200402908087,1024.03336107785
"230","Musq_26",-4.05,14.0381613243693,32.2036133129936,1024.03793460467
"231","Musq_26",-4.35,14.0381363390885,32.2026258895307,1024.03851887379
"232","Musq_26",-4.65,14.0350064755332,32.2040901270781,1024.04163372881
"233","Musq_26",-4.95,14.0391884093031,32.2061322202456,1024.04369118642
"234","Musq_26",-5.25,14.0525654895574,32.2054504611269,1024.0417532954
"235","Musq_26",-5.55,14.05441854859,32.1878919786443,1024.02916005377
"236","Musq_26",-5.85,14.049076251068,32.1927277425184,1024.03533485966
"237","Musq_26",-6.15,14.0610938208992,32.1922938081297,1024.03417407976
"238","Musq_28",-0.15,15.1671453783041,30.642143214673,1022.57836803331
"239","Musq_28",-0.45,15.1645348112208,30.6401622435163,1022.57871385592
"240","Musq_28",-0.75,14.1316513103503,32.0873996847243,1023.9141947977
"241","Musq_28",-1.05,14.0718731289305,32.1407807092049,1023.96907923176
"242","Musq_28",-1.35,14.0397975748736,32.1621791312504,1023.99353938602
"243","Musq_28",-1.65,14.0223187735921,32.2028183627104,1024.02984353186
"244","Musq_28",-1.95,14.0111696964865,32.207843366104,1024.03735386611
"245","Musq_28",-2.25,14.0079650249571,32.2133778559039,1024.04362603297
"246","Musq_28",-2.55,14.0049401298651,32.2189481610217,1024.04988799359
"247","Musq_28",-2.85,14.0029946146075,32.2184120176334,1024.05121524737
